Muni	How to behave to become a Sage 	Sutta Nipata 1:1–3, 1:5, 1:12, 2:6, 2:11, 2:13, 3:4–5, 3:9, 3:11, 4:6–7, 4:9–10, 4:14–16, 5:1–2, 5:7, 5:9	Retain the directness and urgency, reference to K.R. Norman, Bhikkhu Bodhi, and  Ñāṇadīpa	accurate and readable version rendering the verses in a style that is more uplifting	Meaning, root meaning of words same order of lines	free verse,  fewest distortions in meaning, poetic energy Thai	Poetic aesthetics  capture the subtlety of the Pali language	Impact on the mind and practical application 	 	 
3	1.3 KHAGGAVISĀṆA Rhinoceros horn Teaching for the Hermit-minded	Mitte suhajje anukampamāno, Hāpeti atthaṁ paṭibaddhacitto; Etaṁ bhayaṁ santhave pekkhamāno, Variant: santhave → sandhave (mr) Eko care khaggavisāṇakappo	When feelings for friends and loved ones are tied up in selfish love, you miss out on the goal. Seeing this peril in intimacy, live alone like a rhino’s horn.	Sympathizing with friends dear to one’s heart, with mind attached, one forsakes the good. Seeing this peril in intimacy, one should live alone like a rhinoceros horn.		One whose mind is enmeshed in sympathy for friends &companions, neglects the goal. Seeing this danger in intimacy, wander alone like a rhinoceros.	One full of ruth for friends well-loved with mind attached,² neglects the good, seeing this danger in association, fare singly as the rhino’s horn		37	
4	1.3 KHAGGAVISĀṆA Rhinoceros horn Teaching for the Hermit-minded	Vaṁso visālova yathā visatto, Puttesu dāresu ca yā apekkhā; Vaṁsakkaḷīrova asajjamāno, Variant: Vaṁsakkaḷīrova → vaṁsakaḷīrova (bj); vaṁsākaḷīro va (sya-all, km, pts-vp-pli1) Eko care khaggavisāṇakappo	As a spreading bamboo gets entangled, so does concern for partners and children. Like a bamboo shoot unimpeded, live alone like a rhino’s horn	As widespread bamboo becomes entwined, just so is concern for wives and sons. [7] But like a bamboo shoot, not getting stuck,67 one should live alone like a rhinoceros horn.		Like spreading bamboo, entwined, is concern for offspring &spouses. Like a bamboo sprout, unentangling, wander alone like a rhinoceros.	Tangled as the crowding bamboo boughs is fond regard for partner, child: as the tall tops are tangle-free, fare singly as the rhino’s horn		38	
5	1.3 KHAGGAVISĀṆA Rhinoceros horn Teaching for the Hermit-minded	Migo araññamhi yathā abaddho, Variant: abaddho → abandho (sya-all, km) Yenicchakaṁ gacchati gocarāya; Viññū naro seritaṁ pekkhamāno, Eko care khaggavisāṇakappo	As a wild deer loose in the forest grazes wherever it wants, a smart person looking for freedom would live alone like a rhino’s horn.	As a deer unbound in the forest goes off to graze wherever it wants, so a wise person, looking out for freedom, should live alone like a rhinoceros horn.		As a deer in the wilds, unfettered,2 goes for forage wherever it wants: The observant person, valuing freedom, wanders alone like a rhinoceros.	The deer untethered roams the woods going where’er it wants to graze: seeing its liberty, wise one, fare singly as the rhino’s horn.		39	
6	1.3 KHAGGAVISĀṆA Rhinoceros horn Teaching for the Hermit-minded	Āmantanā hoti sahāyamajjhe, Vāse ṭhāne gamane cārikāya; Anabhijjhitaṁ seritaṁ pekkhamāno, Eko care khaggavisāṇakappo”.	When among friends, whether staying in place or going on a journey, you’re always on call. Looking for the uncoveted freedom, live alone like a rhino’s horn.	One is addressed in the midst of companions, whether resting, standing, going, or traveling. Looking out for the freedom that is not coveted, one should live alone like a rhinoceros horn.		In the midst of companions —when staying at home, when going out wandering— you are prey to requests. Valuing the freedom that no one else covets, wander alone like a rhinoceros.	Mong friends one’s asked for this or that, when resting, standing, going on tour, seeing the liberty few desire, fare singly as the rhino’s horn		40	
7	1.3 KHAGGAVISĀṆA Rhinoceros horn Teaching for the Hermit-minded	Khiḍḍā ratī hoti sahāyamajjhe, Puttesu ca vipulaṁ hoti pemaṁ; Piyavippayogaṁ vijigucchamāno, Eko care khaggavisāṇakappo”	Among friends you have fun and games, and for children you are full of love. Though loathe to depart from those you hold dear, live alone like a rhino’s horn.	There is play and delight in the midst of companions, and affection for one’s sons is vast. Averse to separation from those who are dear, one should live alone like a rhinoceros horn.		There is sporting &love in the midst of companions, &abundant love for offspring. Feeling disgust at the prospect of parting from those who’d be dear, wander alone like a rhinoceros.	’Mong friends there’s sexy playfulness, and love for children’s very great, while loath to part from those beloved, fare singly as the rhino’s horn		41	
8	1.3 KHAGGAVISĀṆA Rhinoceros horn Teaching for the Hermit-minded	Cātuddiso appaṭigho ca hoti, Santussamāno itarītarena; Parissayānaṁ sahitā achambhī, Eko care khaggavisāṇakappo”	At ease in any quarter, unresisting, content with whatever comes your way; prevailing over adversities, dauntless, live alone like a rhino’s horn.	At home in the four directions, unrepelled, contented with anything whatsoever, enduring obstacles, fearless, one should live alone like a rhinoceros horn.		Without resistance in all four directions, content with whatever you get, enduring troubles without panic, wander alone like a rhinoceros.	Resentment none to quarters four, and well-content with this and that, enduring dangers undismayed, fare singly as the rhino’s horn.		42	
9	1.3 KHAGGAVISĀṆA Rhinoceros horn Teaching for the Hermit-minded	Dussaṅgahā pabbajitāpi eke, Atho gahaṭṭhā gharamāvasantā; Appossukko paraputtesu hutvā, Eko care khaggavisāṇakappo”.	Even some renunciates are hard to please, as are some layfolk dwelling at home. Don’t worry about others’ children, live alone like a rhino’s horn.	Even some monastics are hard to please; so, too, householders living at home. Being unconcerned about others’ sons, one should live alone like a rhinoceros horn.		They are hard to please, some of those gone forth, as well as those living the household life. Being unconcerned with the offspring of others, wander alone like a rhinoceros.	Some home-forsakers ill consort, as householders who live at home; be unconcerned with others’ kids! fare singly as the rhino’s horn		43	
10	1.3 KHAGGAVISĀṆA Rhinoceros horn Teaching for the Hermit-minded	Oropayitvā gihibyañjanāni, Sañchinnapatto yathā koviḷāro; Variant: Sañchinnapatto → saṁsīnapatto (bj, pts-vp-pli1) Chetvāna vīro gihibandhanāni, Eko care khaggavisāṇakappo”	Having shed the marks of the home life, like the fallen leaves of the Shady Orchid Tree; having cut the bonds of the home life, a hero would live alone like a rhino’s horn.	Having discarded the marks of a layman like a koviḷāra tree whose leaves are shed,68 [8] having cut off a layman’s bonds, the hero should live alone like a rhinoceros horn.		Cutting off the householder’s marks,3 like a kovilara tree that has shed its leaves, the enlightened one, cutting all household ties, wanders alone like a rhinoceros.	Let fall the marks of householder, as Koviḷāra’s parted leaves; a hero, having house-ties cut, fare singly as the rhino’s horn.		44	
11	1.3 KHAGGAVISĀṆA Rhinoceros horn Teaching for the Hermit-minded	Sace labhetha nipakaṁ sahāyaṁ, Saddhiṁ caraṁ sādhuvihāridhīraṁ; Abhibhuyya sabbāni parissayāni, Careyya tenattamano satīmā	If you find an alert companion, a wise and virtuous friend, then, overcoming all adversities, wander with them, joyful and mindful	If one should find a judicious companion, a fellow wanderer, of good behavior, resolute, having overcome all obstacles, one should live with him, satisfied and mindful.		If you gain an astute companion, a fellow traveler, right-living, enlightened, overcoming all troubles, go with him, gratified, mindful.	For practice if one finds a friend— prudent, well-behaved, and wise, mindful, joyful, live as one all troubles overcoming		45	
12	1.3 KHAGGAVISĀṆA Rhinoceros horn Teaching for the Hermit-minded	No ce labhetha nipakaṁ sahāyaṁ, Saddhiṁ caraṁ sādhuvihāridhīraṁ; Rājāva raṭṭhaṁ vijitaṁ pahāya, Eko care mātaṅgaraññeva nāgo”. Variant: mātaṅgaraññeva nāgo → khaggavisāṇakappo (bj, pts-vp-pli1)	If you find no alert companion, no wise and virtuous friend, then, like a king who flees his conquered realm, wander alone like a tusker in the wilds	But if one does not find a judicious companion, a fellow wanderer, of good behavior, resolute, like a king who has abandoned a conquered realm,70 one should live alone like a rhinoceros horn.71		If you don’t gain an astute companion, a fellow traveler, right-living &wise, wander alone like a king renouncing his kingdom, like the elephant in the Mataṅga wilds, [his herd].4	But if you do not find a friend— prudent, well-behaved, and wise, then like a king who leaves his conquered lands, fare singly as the rhino’s horn		46	
13	1.3 KHAGGAVISĀṆA Rhinoceros horn Teaching for the Hermit-minded	Addhā pasaṁsāma sahāyasampadaṁ, Seṭṭhā samā sevitabbā sahāyā; Ete aladdhā anavajjabhojī, Eko care khaggavisāṇakappo	Clearly we praise the blessing of a friend, it’s good to be with friends your equal or better. but failing to find them, eating blamelessly, live alone like a rhino’s horn.	Surely, we praise the excellence of companionship: one should resort to companions one’s equal or better. Not obtaining these, as one who eats blamelessly one should live alone like a rhinoceros horn.		We praise companionship —yes! Those on a par, or better, should be chosen as friends. If they’re not to be found, living faultlessly, wander alone like a rhinoceros.	Surely we praise accomplished friends— choose friends who’re equal, or the best; not finding these, live blamelessly, fare singly as the rhino’s horn.		47	
14	1.3 KHAGGAVISĀṆA Rhinoceros horn Teaching for the Hermit-minded	Disvā suvaṇṇassa pabhassarāni, Kammāraputtena suniṭṭhitāni; Saṅghaṭṭamānāni duve bhujasmiṁ, Variant: Saṅghaṭṭamānāni → saṅghaṭṭayantāni (…) Eko care khaggavisāṇakappo	Though made of shining gold, well-finished by a smith, when two bracelets share the same arm they clash up against each other. Seeing this, live alone like a rhino’s horn.	Having seen radiant [bracelets] of gold, skillfully fashioned by a goldsmith, clashing together in pairs on the arm, one should live alone like a rhinoceros horn.		Seeing radiant bracelets of gold, well-made by a smith, clinking, clashing, two on an arm, wander alone like a rhinoceros,	See golden bangles on an arm, well-burnished by the goldsmith’s art, clash together, the two of them, fare singly as the rhino’s horn		48	
15	1.3 KHAGGAVISĀṆA Rhinoceros horn Teaching for the Hermit-minded	“Evaṁ dutīyena sahā mamassa, Variant: dutīyena → dutiyena (sabbattha) Vācābhilāpo abhisajjanā vā; Etaṁ bhayaṁ āyatiṁ pekkhamāno, Eko care khaggavisāṇakappo	Thinking, “So too, if I had a partner, there’d be flattery or curses.”  Seeing this peril in the future, live alone like a rhino’s horn.	Thus if I had a partner, I would incur [fond] words of address or verbal friction. Looking out for this peril in the future, one should live alone like a rhinoceros horn.		[Thinking:] “In the same way, if I were to live with another, there would be conversation or attachment.” Seeing this future danger, wander alone like a rhinoceros.	When there’s for me “a second one” with intimate talk and curses both, seeing this fear in future time, fare singly as the rhino’s horn		49	
16	1.3 KHAGGAVISĀṆA Rhinoceros horn Teaching for the Hermit-minded	Kāmā hi citrā madhurā manoramā, Virūparūpena mathenti cittaṁ; Ādīnavaṁ kāmaguṇesu disvā, Eko care khaggavisāṇakappo	Sensual pleasures are diverse, sweet, delightful, appearing in disguise they disturb the mind. Seeing danger in the many kinds of sensual stimulation, live alone like a rhino’s horn.	Sensual pleasures are colorful, sweet, delightful, but in their diversity they agitate the mind. Having seen danger in the strands of sensual pleasure, one should live alone like a rhinoceros horn.		Because sensual pleasures, elegant, honeyed, &charming, bewitch the mind with their manifold forms— seeing this drawback in sensual strings5— wander alone like a rhinoceros.	Sense-things so sweet, so varied, in diverse forms disturb the mind; seeing the bane of sense desires fare singly as the rhino’s horn		50	
17	1.3 KHAGGAVISĀṆA Rhinoceros horn Teaching for the Hermit-minded	“Ītī ca gaṇḍo ca upaddavo ca, Rogo ca sallañca bhayañca metaṁ; Etaṁ bhayaṁ kāmaguṇesu disvā, Eko care khaggavisāṇakappo	This is a calamity, a boil, a disaster, an illness, a dart, and a danger for me. Seeing this peril in sensuality, live alone like a rhino’s horn.	“This is adversity, a boil, disaster, an illness, a dart, and peril for me”: having seen this peril in the strands of sensual pleasure, one should live alone like a rhinoceros horn.		“Calamity, tumor, misfortune, disease, an arrow, a danger for me.” Seeing this danger in sensual strings, wander alone like a rhinoceros.	They are a plague, a blain, distress, disease, a dart and danger too: seeing this fear in sense-desires fare singly as the rhino’s horn		51	
18	1.3 KHAGGAVISĀṆA Rhinoceros horn Teaching for the Hermit-minded	Sītañca uṇhañca khudaṁ pipāsaṁ, Vātātape ḍaṁsasarīsape ca; Variant: ḍaṁsasarīsape → ḍaṁsasiriṁsape (bj, sya-all, km, pts-vp-pli1) Sabbānipetāni abhisambhavitvā, Variant: abhisambhavitvā → abhibbhavitvā (tha-ap2:27 [Paccekabuddhaapadāna]) Eko care khaggavisāṇakappo	Heat and cold, hunger and thirst, wind and sun, flies and snakes: having put up with all these things, live alone like a rhino’s horn.	Cold and heat, hunger, thirst, wind, the hot sun, gadflies, and serpents: having patiently endured all these, one should live alone like a rhinoceros horn.		Cold &heat, hunger &thirst, wind &sun, horseflies &snakes: Enduring all these, without exception, wander alone like a rhinoceros.	The heat and cold, and hunger, thirst, wind, sun, mosquitoes’ bites and snakes’; enduring one and all of these, fare singly as the rhino’s horn		52	
19	1.3 KHAGGAVISĀṆA Rhinoceros horn Teaching for the Hermit-minded	Nāgova yūthāni vivajjayitvā, Sañjātakhandho padumī uḷāro; Yathābhirantaṁ viharaṁ araññe, Variant: viharaṁ → vihare (bj, pts-vp-pli1) Eko care khaggavisāṇakappo”	As a full-grown elephant, lotus-eating, magnificent, forsaking the herd,  stays where it wants in the forest, live alone like a rhino’s horn.	As an elephant that has abandoned the herd — with massive back, lotus-like, eminent — may live in the forest as he pleases, one should live alone like a rhinoceros horn.		As a great white elephant, with massive shoulders, renouncing his herd, lives in the wilds wherever he wants, wander alone like a rhinoceros.	As elephant bull of noble mien, full-grown, the flock forsakes and lives in forests as it pleases him, fare singly as the rhino’s horn		53	
20	1.3 KHAGGAVISĀṆA Rhinoceros horn Teaching for the Hermit-minded	Aṭṭhānataṁ saṅgaṇikāratassa, Yaṁ phassaye sāmayikaṁ vimuttiṁ; Variant: phassaye → phussaye (sya-all) Ādiccabandhussa vaco nisamma, Eko care khaggavisāṇakappo”.	It’s impossible for one who delights in company to experience even temporary freedom. Heeding the speech of the Kinsman of the Sun, live alone like a rhino’s horn.	It is impossible that one who delights in company might attain even temporary liberation. Having attended to the word of the Kinsman of the Sun, one should live alone like a rhinoceros horn.		“There’s no way that one delighting in company can touch even momentary release.”6 Heeding the words of the Kinsman of the Sun,7 wander alone like a rhinoceros.	“Who loves to live in company e’en timely freedom cannot find”; so Kinsman of the Sun declared— fare singly as the rhino’s horn		54	This is apparently the same thing as the occasional release/liberation mentioned in MN 29.
21	1.3 KHAGGAVISĀṆA Rhinoceros horn Teaching for the Hermit-minded	Diṭṭhīvisūkāni upātivatto, Patto niyāmaṁ paṭiladdhamaggo; Uppannañāṇomhi anaññaneyyo, Eko care khaggavisāṇakappo”.	Thinking, “I am one who has left warped views behind, has reached the sure way, has gained the path, has given rise to knowledge, and needs no-one to guide me”, live alone like a rhino’s horn.	“I have transcended the contortions of views, reached the fixed course, obtained the path. I have aroused knowledge, I’m not to be led by others”: one should live alone like a rhinoceros horn.		Transcending the contortion of views,8 the sure way attained, the path gained, [realizing:] “Unled by others, I have knowledge arisen,” wander alone like a rhinoceros.	View-contortions gone beyond, right method won, the path attained, “I Know! No other is my guide!” fare singly as the rhino’s horn.		55	
22	1.3 KHAGGAVISĀṆA Rhinoceros horn Teaching for the Hermit-minded	Nillolupo nikkuho nippipāso, Nimmakkho niddhantakasāvamoho; Nirāsayo sabbaloke bhavitvā, Variant: Nirāsayo → nirāsāso (mr) Eko care khaggavisāṇakappo”	No greed, no guile, no thirst, no slur, dross and delusion is smelted off;  free of hoping for anything in the world, live alone like a rhino’s horn.	Without greed, without scheming, without thirst, not denigrating, with stains and delusion blown away, without wishes for anything in all the world, one should live alone like a rhinoceros horn.		With no greed, no deceit, no thirst, no hypocrisy— delusion &blemishes blown away— with no inclinations for all the world, every world, wander alone like a rhinoceros.	No greed, no guile, no thirst, no slur, and blown away by delusion’s fault; wantless in all the world’s become, fare singly as the rhino’s horn		56	smelting of gold, AN 3.101
23	1.3 KHAGGAVISĀṆA Rhinoceros horn Teaching for the Hermit-minded	Pāpaṁ sahāyaṁ parivajjayetha, Anatthadassiṁ visame niviṭṭhaṁ; Sayaṁ na seve pasutaṁ pamattaṁ, Eko care khaggavisāṇakappo	Avoid a wicked companion, blind to the good, habitually immoral. One ought not befriend the heedless and hankering, but live alone like a rhino’s horn.	One should avoid an evil companion, who shows what is harmful, one settled in unrighteousness. One should not freely associate with one who is intent and heedless; one should live alone like a rhinoceros horn.		Avoid the evil companion disregarding the goal, intent on the discordant9 way. Don’t associate yourself with someone heedless &hankering. Wander alone like a rhinoceros.	Shun the evil friend who sees no goal, convinced in crooked ways, serve not at will the wanton one, fare singly as the rhino’s horn		57	
24	1.3 KHAGGAVISĀṆA Rhinoceros horn Teaching for the Hermit-minded	Bahussutaṁ dhammadharaṁ bhajetha, Mittaṁ uḷāraṁ paṭibhānavantaṁ; Aññāya atthāni vineyya kaṅkhaṁ, Eko care khaggavisāṇakappo”	Spend time with a learned expert who has memorized the teachings, an eloquent and uplifting friend. When you understand the meanings and have dispelled doubt, live alone like a rhino’s horn.	One should resort to the learned, a bearer of Dhamma, an eminent friend gifted with ingenuity. Having known the benefits and removed doubt, one should live alone like a rhinoceros horn.		Consort with one who is learned, who maintains the Dhamma, a great &quick-witted friend. Knowing the meanings, subdue your perplexity, [then] wander alone like a rhinoceros.	Follow that friend who’s deeply-learned, Dharma-endowed and lucid, great, knows meaning leading out of doubts, fare singly as the rhino’s horn		58	
25	1.3 KHAGGAVISĀṆA Rhinoceros horn Teaching for the Hermit-minded	Khiḍḍaṁ ratiṁ kāmasukhañca loke, Analaṅkaritvā anapekkhamāno; Vibhūsanaṭṭhānā virato saccavādī, Variant: Vibhūsanaṭṭhānā → vibhūsaṭṭhānā (…) Eko care khaggavisāṇakappo	When you realize that worldly fun and games and pleasure are unsatisfying, disregarding them, as one unadorned, a speaker of truth, live alone like a rhino’s horn	Having found no satisfaction in the world with play, delight, and sensual pleasures, not taking any interest in them, refraining from ornaments, a speaker of truth, one should live alone like a rhinoceros horn.		Free from longing, finding no pleasure in the world’s sport, ardor, or sensual bliss, abstaining from adornment, speaking the truth, wander alone like a rhinoceros.	In playful love and sensual joys find no reward—no longer long; embellish not but speak the truth, fare singly as the rhino’s horn.		59	
26	1.3 KHAGGAVISĀṆA Rhinoceros horn Teaching for the Hermit-minded	Puttañca dāraṁ pitarañca mātaraṁ, Dhanāni dhaññāni ca bandhavāni; Variant: bandhavāni → bandhavāni ca (pts-vp-pli1) Hitvāna kāmāni yathodhikāni, Eko care khaggavisāṇakappo	Children, partner, father, mother, wealth and grain and relatives: having given up sensual pleasures to this extent, live alone like a rhino’s horn.	Having abandoned children and wife, father and mother, wealth, grain, and relatives, sensual pleasures according to the limit, one should live alone like a rhinoceros horn.		Abandoning offspring, spouse, father, mother, riches, grain, relatives, &sensual pleasures altogether, wander alone like a rhinoceros.	Partner, children, parents too, kin and wealth—things bought with it, leaving all sense-desires behind, fare singly as the rhino’s horn		60	
27	1.3 KHAGGAVISĀṆA Rhinoceros horn Teaching for the Hermit-minded	Saṅgo eso parittamettha sokhyaṁ, Appassādo dukkhamettha bhiyyo; Gaḷo eso iti ñatvā matīmā, Variant: matīmā → mutīmā (bj, pts-vp-pli1, csp1ed); matimā (sya-all); matimā (…) Eko care khaggavisāṇakappo	“This is a snare. Here there’s hardly any happiness, little gratification, and it’s full of drawbacks. It’s a hook.” Knowing this, a thoughtful person would live alone like a rhino’s horn.	“This is a tie, the happiness here is slight, giving little gratification; the suffering here is more, this is a hook”: having known thus, a thoughtful person should live alone like a rhinoceros horn.		“This is a bondage. There’s little happiness here, next to no enjoyment, all the more suffering &pain.10 This is a boil”11: Knowing this, circumspect, wander alone like a rhinoceros.	“They are but bonds and brief their joys, and few their sweets and more their ills. Hooks in the throat!” This knowing well, fare singly as the rhino’s horn.		61	See MN 54. AN 9.15
28	1.3 KHAGGAVISĀṆA Rhinoceros horn Teaching for the Hermit-minded	Sandālayitvāna saṁyojanāni, Variant: Sandālayitvāna → sandāḷayitvāna (bj); sandālayitvā (pts-vp-pli1); padālayitvāna (mr) Jālaṁva bhetvā salilambucārī; Aggīva daḍḍhaṁ anivattamāno, Eko care khaggavisāṇakappo”.	Having burst apart the fetters, like a fish that tears the net and swims free, or a fire not returning to ground it has burned, live alone like a rhino’s horn.	Having sundered the fetters, like a fish in the water that has broken a net, like a fire not returning to what has been burnt, one should live alone like a rhinoceros horn.		Shattering fetters, like a fish in the water tearing a net, like a fire not coming back to what’s burnt, wander alone like a rhinoceros.	Do snap the fetters, as a net by river denizen is broke. As fire to waste comes back no more, fare singly as the rhino’s horn		62	
29	1.3 KHAGGAVISĀṆA Rhinoceros horn Teaching for the Hermit-minded	Okkhittacakkhu na ca pādalolo, Guttindriyo rakkhitamānasāno; Anavassuto apariḍayhamāno, Eko care khaggavisāṇakappo”.	Eyes downcast, not footloose, senses guarded, mind protected, uncorrupted, not burning with desire, live alone like a rhino’s horn	With downcast gaze, not footloose, with guarded faculties, with protected mind, unpolluted, not feverish with passion, one should live alone like a rhinoceros horn.		Eyes downcast, not footloose, senses guarded, with protected mind, not soggy, not burning,12 wander alone like a rhinoceros.	With downcast eyes, not loitering, with guarded sense, warded thoughts, with mind that festers not nor burns, fare singly as the rhino’s horn.		63	SN 35.202, SN 35.28, ItI 93, AN 3:110.
30	1.3 KHAGGAVISĀṆA Rhinoceros horn Teaching for the Hermit-minded	Ohārayitvā gihibyañjanāni, Sañchannapatto yathā pārichatto; Variant: Sañchannapatto → sañchinnapatto (sya-all); saṁchinnapatto (pts-vp-pli1); pacchinnapatto (mr) | pārichatto → pārichattako (…) Kāsāyavattho abhinikkhamitvā, Eko care khaggavisāṇakappo	Having shed the marks of the home life, like the fallen leaves of the Shady Orchid Tree, and gone forth in the ocher robe, live alone like a rhino’s horn	Having cast off the marks of a layman like a pāricchattaka tree that has shed its leaves,72 [11] clothed in ochre robes, having renounced, one should live alone like a rhinoceros horn.		Taking off the householder’s marks,13 like a coral tree that has shed its leaves, going forth in the ochre robe, wander alone like a rhinoceros.	Discard householder’s finery, as shed their leaves the Coral Trees; go forth in kāsāya robes, fare singly as the rhino’s horn		64	
31	1.3 KHAGGAVISĀṆA Rhinoceros horn Teaching for the Hermit-minded	Rasesu gedhaṁ akaraṁ alolo, Anaññaposī sapadānacārī; Kule kule appaṭibaddhacitto, Variant: appaṭibaddhacitto → appaṭibandhacitto (mr) Eko care khaggavisāṇakappo	Not wanton, nor rousing greed for tastes, providing for no other, wandering indiscriminately for alms, not attached to this family or that, live alone like a rhino’s horn.	Not arousing greed for tastes, not hankering for them; not nourishing others, walking for alms without skipping houses; with a mind unbound to this or that family, one should live alone like a rhinoceros horn.		Showing no greed for flavors, not wanton, going from house to house for alms with mind unenmeshed in this family or that, wander alone like a rhinoceros.	Crave not for tastes but free of greed for alms food walk, omitting none, and unattached ’mong families, fare singly as the rhino’s horn		65	
32	1.3 KHAGGAVISĀṆA Rhinoceros horn Teaching for the Hermit-minded	Pahāya pañcāvaraṇāni cetaso, Upakkilese byapanujja sabbe; Anissito chetva sinehadosaṁ, Variant: chetva → chetvā (bj, sya-all, pts-vp-pli1, mr) | sinehadosaṁ → snehadosaṁ (bj, mr) Eko care khaggavisāṇakappo	When you’ve given up five mental obstacles, and expelled all corruptions, and cut off affection and hate, being independent, live alone like a rhino’s horn.	Having abandoned the five obstructions of mind, having dispelled all mental defilements, independent, having cut off affection and hatred, one should live alone like a rhinoceros horn.		Abandoning barriers to awareness, expelling all defilements—all— non-dependent, cutting aversion, affection, wander alone like a rhinoceros.	Abandoned mind’s five hindrances, set aside defilements all, affection-blemish having cut, fare singly as the rhino’s horn		66	
33	1.3 KHAGGAVISĀṆA Rhinoceros horn Teaching for the Hermit-minded	Vipiṭṭhikatvāna sukhaṁ dukhañca, Pubbeva ca somanassadomanassaṁ; Laddhānupekkhaṁ samathaṁ visuddhaṁ, Eko care khaggavisāṇakappo”.	When you’ve put pleasure and pain behind you, and former happiness and sadness, and gained equanimity serene and pure, live alone like a rhino’s horn.	Having left behind pleasure and pain and previously [discarded] joy and dejection, having gained purified equanimity and serenity, one should live alone like a rhinoceros horn.		Turning your back on pleasure &pain, as earlier with sorrow &joy, attaining pure equanimity, tranquility,14 wander alone like a rhinoceros.	Let go of pain and happiness, with previous joys and sorrows too, gained poise and calm and purity, fare singly as the rhino’s horn		67	
34	1.3 KHAGGAVISĀṆA Rhinoceros horn Teaching for the Hermit-minded	Āraddhaviriyo paramatthapattiyā, Alīnacitto akusītavutti; Daḷhanikkamo thāmabalūpapanno, Eko care khaggavisāṇakappo”.	With energy roused to reach the ultimate goal, not sluggish in mind or lazy, vigorous, strong and powerful, live alone like a rhino’s horn.	With energy aroused to attain the supreme goal, with unsluggish mind and robust practice, firmly persistent, equipped with strength and power, one should live alone like a rhinoceros horn.		With persistence aroused for the highest goal’s attainment, with mind unsmeared, not lazy in action, firm in effort, with steadfastness &strength arisen, wander alone like a rhinoceros.	Resolved to win the Ultimate, not slack in mind, nor slothful ways, but steady, strong in body and mind, fare singly as the rhino’s horn		68	
35	1.3 KHAGGAVISĀṆA Rhinoceros horn Teaching for the Hermit-minded	Paṭisallānaṁ jhānamariñcamāno, Dhammesu niccaṁ anudhammacārī; Ādīnavaṁ sammasitā bhavesu, Eko care khaggavisāṇakappo	Not neglecting retreat and absorption, always living in line with the teachings, comprehending the danger in rebirths, live alone like a rhino’s horn.	Not neglecting seclusion and jhāna, always acting in accordance with the teachings, having explored the danger in states of existence, one should live alone like a rhinoceros horn.		Not neglecting seclusion, jhāna, constantly living the Dhamma in line with the Dhamma, comprehending the danger in states of becoming, wander alone like a rhinoceros.	Seclusion, jhāna—do not cease but what’s in line with Dharma do, with mastered existential fears, fare singly as the rhino’s horn		69	
36	1.3 KHAGGAVISĀṆA Rhinoceros horn Teaching for the Hermit-minded	Taṇhakkhayaṁ patthayamappamatto, Aneḷamūgo sutavā satīmā; Variant: Aneḷamūgo → anelamūgo (bj, sya-all, pts-vp-pli1, mr) Saṅkhātadhammo niyato padhānavā, Eko care khaggavisāṇakappo”.	One whose aim is the ending of craving— diligent, clever, learned, mindful, resolute— who has assessed the teaching and is bound for awakening, should live alone like a rhino’s horn.	Yearning for craving’s destruction, heedful, intelligent, learned, mindful, having comprehended the Dhamma, fixed in destiny, vigorous in striving, one should live alone like a rhinoceros horn.		Intent on the ending of craving &heedful, neither drooling nor dumb, but learned, mindful, —having reckoned the Dhamma— certain &striving, wander alone like a rhinoceros.	Alert, aspiring craving’s end, clear-voiced and learned, mindful too, striven, true Dharma having known, fare singly as the rhino’s horn		70	
37	1.3 KHAGGAVISĀṆA Rhinoceros horn Teaching for the Hermit-minded	Sīhova saddesu asantasanto, Vātova jālamhi asajjamāno; Padumaṁva toyena alippamāno, Variant: alippamāno → alimpamāno (si, sya-all, mr) Eko care khaggavisāṇakappo	Like a lion not startled by sounds, like wind not caught in a net, like water not sticking to a lotus, live alone like a rhino’s horn.	Like a lion unalarmed among sounds, like the wind not caught in a net, untainted like a lotus by water, one should live alone like a rhinoceros horn.		Unstartled,     like a lion at sounds. Unsnared,     like the wind in a net. Unsmeared,     like a lotus in water15: Wander alone like a rhinoceros.	As lion is unafraid of sounds, like wind not caught within a net, as lotus not by water soiled, fare singly as the rhino’s horn		71	
38	1.3 KHAGGAVISĀṆA Rhinoceros horn Teaching for the Hermit-minded	Sīho yathā dāṭhabalī pasayha, Rājā migānaṁ abhibhuyya cārī; Sevetha pantāni senāsanāni, Eko care khaggavisāṇakappo	Like the fierce-fanged lion, king of beasts, who wanders as victor and master, you should frequent remote lodgings, and live alone like a rhino’s horn.	Like the lion, king of beasts, who has fangs as its strength, who lives by attacking and overpowering, one should resort to remote lodgings; one should live alone like a rhinoceros horn.		Like a lion—forceful, strong in fang, living as a conqueror, the king of beasts— resort to a solitary dwelling. Wander alone like a rhinoceros.	As lion strong-toothed, the king of beasts, subdues them all, so overcome by use of practice-place remote, fare singly as the rhino’s horn.		72	
