Atthaka vagga 			Translators approach	Meaning, root meaning of words same order of lines	Retain the directness and urgency, reference to K.R. Norman, Bhikkhu Bodhi, and  Ñāṇadīpa	free verse,  fewest distortions in meaning, poetic energy Thai	accurate and readable version rendering the verses in a style that is more uplifting	Poetic aesthetics  capture the subtlety of the Pali language	Diferent approache occasionally more natural interpretations 	Impact on the mind		engaging in philosophical debates (4:3, 4:5, 4:8, 4:11–13), 	
13.19	MAHĀVIYŪHA	Great Array for Battle 	pubbāsave hitvā nave akubbaṃ na chandagū nopi nivissavādī sa vippamutto diṭṭhigatehi dhīro na lippati loke anattagarahī	Giving up old taints, not making new ones, he does not go by desire nor speak out of belief. He, the wise one, being freed from view-issues, does not get stuck in the world and does not reproach himself.	Having given up former defilements, and not making new ones, not swayed by preference, nor a proponent of dogma,  that wise one is released from views, not clinging to the world, nor reproaching themselves.	Giving up old effluents, not forming new, neither pursuing desire, nor entrenched in his teachings, he’s totally released from viewpoints, enlightened. He doesn’t adhere to the world, is without self-rebuke;	“Having abandoned past influxes, not creating new ones, he does not go along with desire, nor is he a dogmatist. Released from speculative views, the wise person, free of self-reproach, is not tainted by the world.	Former corruptions are abandoned, While new ones are not created, They have no biasses, and are not dogmatic. The sage is freed from commitment to views, Not clinging to the world, nor reproaching themselves.	Old associations he breaks and makes no new; Far away from desire, attached how can he be? From false beliefs, released and free is he, the hero, From the world entire, he has escaped, and rebirth he has none. 		913	Sujato Here, as at Snp 4.3:2.2, chanda is better read as “preference” than “desire”.	disputes 
13.20.	MAHĀVIYŪHA	Great Array for Battle 	sa sabbadhammesu visenibhūto yaṃ kiñci diṭṭhaṃ va sutaṃ mutaṃ vā sa pannabhāro muni vippamutto na kappiyo nūparato na patthiyoti	Unopposed to all things he has become, whether those seen or heard or those thought about. The Muni with burden laid down, completely freed is not forming, not taking delight, not aspiring.	They are remote from all things seen, heard, or thought. With burden put down, the sage is released: not formulating, not abstaining, not longing.”	is enemy-free11 with regard to all things seen, heard, or sensed. His burden laid down, the sage totally released is improper :: is theory-free hasn’t stopped :: isn’t impassioned isn’t worth wanting :: doesn’t desire,” the Blessed One said.	“He is remote from all phenomena, from whatever is seen, heard, or sensed. With his burden dropped, released, the muni, not given to mental construction, does not desist, does not yearn” — so said the Blessed One.	They have no enemies in the doctrines, Whether seen, heard, or thought; The sage is freed, having put down the burden, Not planning, not wanting, not wishing.	With respect to [the nature of] Dharmas, lie entertains no doubt; Then, what' to say of all that is seen, or heard, and thought of? The burden heavy has the sage laid down. Well-freed He craves not, having gone beyond what he always meets and sees.		914	“Is improper :: is free from theories, hasn’t stopped :: isn’t impassioned, isn’t worth wanting :: doesn’t desire”—a series of puns—na kappiyo, nuparato, na patthiyo—each with a strongly positive and a strongly negative meaning, probably meant for their shock value.	disputes 
14.1	Tuvaṭaka	Quick Way	pucchāmi taṃ ādiccabandhu vivekaṃ santipadañca mahesi kathaṃ disvā nibbāti bhikkhu anupādiyāno lokasmiṃ kiñci	I ask you, O Kinsman of the Sun, about seclusion and the state of peace, O Sage. How having seen is a monk quenched, not taking up anything in the world.	“Great hermit, I ask you, the Kinsman of the Sun, about seclusion and the state of peace. How, having seen, is a mendicant quenched, not grasping anything in this world?”	“I ask the Kinsman of the Sun, the Great Seer, about seclusion &the state of peace. Seeing in what way is a monk unbound, clinging to nothing in the world?”	“I ask you, Kinsman of the Sun, great rishi, about seclusion and the state of peace. How having seen does a bhikkhu attain nibbāna, not clinging to anything in the world?”	I ask the Kinsman of the Sun, the great seeker, About seclusion and the state of peace. Seeing what is a bhikkhu quenched, Not grasping at anything in the world?	Of the divine sage gone beyond[all things], I should like to ask About remoteness and calm, the source of great joy. What view should a learner hold, so that Quiescence he may attain, without clinging to anything in the World?		915	See also: DN 2, MN 18, SN 23.2	Muni 
14.2	Tuvaṭaka	Quick Way	mūlaṃ papañcasaṅkhāya (iti bhagavā) mantā asmīti sabbamuparundhe yā kāci taṇhā ajjhattaṃ tāsaṃ vinayā sadā sato sikkhe	The root of expanse-and-name,18 the “I am”, the deep thinker should put a complete end to. Whatever cravings are within, for dispelling these, he should always train mindfully	“They would cut off the idea, ‘I am the thinker,” said the Buddha, “which is the root of all concepts of identity due to proliferation.  Ever mindful, they would train to remove any internal cravings.	“He should put an entire stop to the root of objectification-classifications: ‘I am the thinker.’1 He should train, always mindful, to subdue any craving inside him.	“By reflection, he should stop [the conceit] ‘I am,’ the entire root of concepts due to proliferation,” [the Blessed One said]. “Whatever cravings there may be internally, he should always train mindfully for their removal.	One should completely extract The root of proliferation and reckoning— The notion, “I am the thinker”. One should train to dispel whatever craving There is inside, ever mindful.	The root of desire and the obstruction of the self And all distraction therefrom may be completely ended. And whatever craving that may be embosomed  For its destruction, one should be watchful and alert		916	14 pali = 13 Chinese  Chinese story is difierent	Muni 
14.3	Tuvaṭaka	Quick Way	yaṃ kiñci dhammamabhijaññā ajjhattaṃ atha vāpi bahiddhā na tena thāmaṃ kubbetha na hi sā nibbuti sataṃ vuttā	Whatever thing he would directly know, whether in himself or outside, that he should not build up ‘strength’ upon, for that is not called quenching by the good.	Regardless of what things they know, whether internal or external, they wouldn’t be proud because of that, for that is not extinguishment, say the good.	Whatever truth he may know, within or without, he shouldn’t, because of it, make himself hardened, for that isn’t called unbinding by the good.	“Whatever one might know, whether internally or externally, one should not be obstinate on that account, for that is not called quenching by the good.	Whatever principle they have known for themselves, Whether internally or externally, They would not be stubborn about that, For good people say that this is not quenching.	Already he has understood whatever is in consonance with Law— That which is within or that which is without. He is strenuous and diligent at whatever he does, Without aiming, Thus grasping will not exist		917		Muni 
14.4	Tuvaṭaka	Quick Way	seyyo na tena maññeyya nīceyyo athavāpi sarikkho phuṭṭho anekarūpehi nātumānaṃ vikappayaṃ tiṭṭhe	By that he should not think himself to be better, or to be lower or equal. Contacted by many forms he should not stay making out himself.	They wouldn’t let that make them conceited, thinking themselves better or worse or alike. When questioned in many ways,  they wouldn’t keep justifying themselves.	He shouldn’t, because of it, think himself better, lower, or equal. Touched by contact in various ways, he shouldn’t keep theorizing about self.	“Because of this one should not think oneself better, nor should one consider oneself inferior or equal. Being affected in various ways, one should not persist in positioning oneself.	You shouldn’t, on that account, think you are better, Or worse, or even the same; Though affected by many different things, You should not keep thinking of yourself.	Because of this, he may not think high of himself, Nor low, nor ranked as on level with others; Though looked up to and praised by the people,  He may not exalt himself to the skies and then fallen stand. 		918		Muni 
14.5	Tuvaṭaka	Quick Way	ajjhattamevupasame na aññato bhikkhu santimeseyya ajjhattaṃ upasantassa natthi attāṃ kuto nirattāṃ vā	Only in himself should he come to peace, a monk should not seek peace from what is other. For the one come to peace in himself there is not the assumed, from where the rejected.	A mendicant would find peace inside themselves, and not seek peace from another. For one at peace inside themselves, there’s no picking up, whence putting down?	Stilled right within, a monk shouldn’t seek peace from another, from anything else. For one stilled right within, there’s nothing embraced, so how rejected?	“It is internally that he should achieve peace; a bhikkhu should not seek peace through another. For one who is at peace within himself, there is nothing taken up, much less rejected.	Totally calm within himself, A bhikkhu would not seek peace from another; For one who is at peace with themselves, There is nothing to hold on to, still less to put down.	By just guarding himself, the Quiescence he may He must learn to seek it not of others,  By inner reflection, the mental attachment doth cease. He pries not into things". How can he[possibly]do it?		919		Muni 
14.6	Tuvaṭaka	Quick Way	majjhe yathā samuddassa ūmi no jāyatī ṭhito hoti evaṃ ṭhito anejassa ussadaṃ bhikkhu na kareyya kuhiñci	As in the middle of the ocean no wave is born, it stays still. So he should stay still without movement and allow no ‘up-flow’ anywhere.	Just as, in the mid-ocean deeps  no waves arise, it stays still; so too one unstirred is still a mendicant would nurse no pride at all.”	As in the middle of the sea it is still, with no waves upwelling, so the monk—unperturbed, still— should not swell himself anywhere.”	“Just as in the middle of the ocean no wave arises, but the ocean remains steady, so too he should be steady, without impulse; a bhikkhu should not cause a swelling anywhere.”	As in the middle of the ocean, There are no waves, but all is still, So they would be still, unmoving; A bhikkhu is not haughty at all.	Just as in a place in the midst of the ocean, There are no waves, and one can be steady and straight, Just so with one in whom everything has stopped and stayed. The Enlightened One can have no protuberances in his mind.		920		Muni 
14.7	Tuvaṭaka	Quick Way	akittayī vivaṭacakkhu sakkhidhammaṃ parissayavinayaṃ paṭipadaṃ vadehi bhaddante pātimokkhaṃ atha vāpi samādhiṃ	The open-eyed one has declared the nature of things as experienced, putting aside difficulties.20 Tell us of the practice, Venerable Sir, the binding principles, as well as composure.	“He whose eyes are open has explained the truth he witnessed, where adversities are removed. Please now speak of the practice, sir, the monastic code and immersion in samādhi.	“He whose eyes are open has described the Dhamma he’s witnessed, subduing danger. Now tell us, sir, the practice: the Pāṭimokkha &concentration.”	“The one with opened eyes declared the Dhamma he witnessed, the removal of obstacles. Speak about the practice, venerable one, the Pātimokkha and also concentration.”	You have taught me, with your eyes open, Seeing principles for yourself, dispelling dangers; Venerable sir, tell me the practice, The rules of conduct and also meditation.	I hope the Great vision-eyed Seer will reveal To others the Law already experienced by Him. I hope He may the Honoured One excuse me, will shed light On the rules[0f Pratimoksa] and the concentration that follows.”		921		Muni 
14.8	Tuvaṭaka	Quick Way	cakkhūhi neva lolassa gāmakathāya āvaraye sotaṃ rase ca nānugijjheyya na ca mamāyetha kiñci lokasmiṃ	He should not be restless with his eyes. He should close his ears to village talk. He should not be greedy for tastes and not make ‘mine’ anything in the world.	“With eyes not wanton, they’d turn their ears from village gossip. They wouldn’t be greedy for flavors, nor possessive about anything in the world.	“One shouldn’t be careless with his eyes, should close his ears to village-talk, shouldn’t hunger for flavors, or view anything in the world as mine.	“One should not be restless with the eyes, one should block the ears against village gossip. One should not be greedy for tastes, and one should not take anything in the world as ‘mine.’	Not letting their eyes wander, Turning their ear from crass conversations, Not greedy for flavors, And not thinking of anything in the world as “mine”.	Just hold your eyes from moving right or left; Give words no access to your ears which closed may remain; Have no greed for tastes that are tabooed; Have no sense of my-ness for things of the world		922		Muni 
14.9	Tuvaṭaka	Quick Way	phassena yadā phuṭṭhassa paridevaṃ bhikkhu na kareyya kuhiñci bhavañca nābhijappeyya bheravesu ca na sampavedheyya	When contacted by contact a monk should not make lamentation about anything. He should not hanker after existence, and not shake among fearful things.	Though struck by contacts, a mendicant would not lament at all. They wouldn’t pray for another life, nor tremble in the face of dangers.	When touched by contact, he shouldn’t lament, shouldn’t covet anywhere any states of becoming, or tremble at terrors.	“When he is touched by a contact, a bhikkhu should not lament anywhere. He should not long for any state of existence, nor should he tremble amid fearful conditions.	When things afflict him, A bhikkhu would not whinge at all; He would neither long for rebirth, Nor tremble at dangers.	If your body is assailed by contacts, rough or smooth, Entertain no thought of grief in your mind. If you have a craving for things that are covetable, And if you have fears, please,  do not crouch		923		Muni 
14.10.	Tuvaṭaka	Quick Way	annānamatho pānānaṃ khādanīyānaṃ athopi vatthānaṃ laddhā na sannidhiṃ kayirā na ca parittase tāni alabhamāno	Of foods and drinks of chewables as well as of clothes he should not, if getting them, make a store, and he should not become anxious if not getting them.	When they receive food and drink, edibles and clothes, they wouldn’t store them up, nor worry about not getting them.	When gaining food &drink, staples &cloth, he should not make a hoard. Nor should he be upset when receiving no gains.	“Having obtained food and drink, things to eat or clothes to wear, he should not hoard them, nor be agitated if he does not obtain them.	He would not store up goods that he gets, Whether food and drink, Other edibles or cloth, And he would not be afraid of not getting anything.	The food and drinks that ye may obtain And the clothes that ye may get for your use. Take them enough for your need and stop, without providing for the future. With these, ye rest [content] and covet ye not for the rest		924		Muni 
14.11	Tuvaṭaka	Quick Way	jhāyī na pādalolassa virame kukkuccā nappamajjeyya athāsanesu sayanesu appasaddesu bhikkhu vihareyya	He should be meditative and not restless on his feet. He should refrain from loose conduct and not be negligent. Then in sitting and resting places that are of little sound a monk should dwell.	Meditative, not footloose, they’d avoid remorse and not be negligent. Then a mendicant would stay in quiet places to sit and rest.	Doing jhāna, not footloose, he should refrain from restlessness, shouldn’t be heedless, should live in a noise-less abode.	“He should be a meditator, not one with restless feet; he should refrain from regret; he should not be heedless. A bhikkhu should dwell amid seats and beds [in lodgings] where there is little noise.	Practising jhāna, not footloose, Not remorseful, nor negligent; That bhikkhu would stay in quiet Places for meditation and sleep.	In meditation be steeped and in forests find delight; To rules of conduct be resigned, with no violence or play with them; In places of dwelling or of rest, and in places That are calm and quiet, O student, ye with strenuous-ness exert		925		Muni 
14.12	Tuvaṭaka	Quick Way	niddaṃ na bahulīkareyya jāgariyaṃ bhajeyya ātāpī tandiṃ māyaṃ hassaṃ khiḍḍaṃ methunaṃ vippajahe savibhūsaṃ	He should not take much sleep, but should apply himself to wakefulness, being ardent. Lassitude, deceit, laughter and play he should dispel, as well as sexuality and adornment.	They wouldn’t take much sleep, but, being keen, would apply themselves to wakefulness. They’d give up sloth, illusion, mirth, and play, and sex and ornamentation.	ardent, given to wakefulness, he should abandon weariness, deception, laughter, sports, sexual intercourse, &all that goes with it;	“He should not overindulge in sleep; he should be devoted to wakefulness, ardent. He should abandon indolence, hypocrisy, laughing, and playfulness, sexual intercourse, and personal ornamentation.	They would not sleep much, But be ardent, developing wakefulness; They would abandon laziness, deceit, jokes, games, And sex, together with other frivolities.	No fear ye entertain and sloth and torpor ye relinquish; In watchful behaviour always practise exertion. Drowsiness, sport and laughter ye abandon, And from sexual enjoyment and self-adornment, keep away		926		Muni 
14.13	Tuvaṭaka	Quick Way	āthabbaṇaṃ supinaṃ lakkhaṇaṃ no vidahe athopi nakkhattaṃ virutañca gabbhakaraṇaṃ tikicchaṃ māmako na seveyya	Atharva charms, dreams and signs he should not practice, as well as astrology. Animal cries interpretation, causing of conception, and healing my follower should not engage it.	They wouldn’t cast Artharvaṇa spells, interpret dreams or omens, or practice astrology. My followers would not decipher animal cries, practice healing, or cast pregnancy spells.	should not practice casting spells,3 interpret dreams, physical marks, the stars, animal cries; should not be devoted to doing cures or inducing fertility.	“He should not employ Atharva spells, or interpret dreams, signs, or constellations.   My follower would not decipher animal cries, or practice healing or making women fertile.	One of my followers would not cast spells, Or interpret dreams, Nor would they practice astrology, Prognosticate animal sounds, Practice fertility magic, Or [earn money] as a healer.	Weapons of injury ye give up, as well as the interpretation of dreams; Exhibit not your skill of [sustaining the child in] the womb, Use not at all a probing[knife] and thus be a favourite of gods		927		Muni 
14.14	Tuvaṭaka	Quick Way	nindāya nappavedheyya na uṇṇameyya pasaṃsito bhikkhu lobhaṃ saha macchariyena kodhaṃ pesuṇiyañca panudeyya	A monk should not tremble at blame, and not get elated when praised. Greed together with avarice, anger and slander he should dispel.	Not shaken by criticism, a mendicant would not pride themselves when praised. They’d reject greed and stinginess, anger, and slander.	A monk shouldn’t tremble at blame or grow haughty with praise; should dispel stinginess, greed, divisive speech, anger;	“A bhikkhu should not be shaken by blame, nor should he be elated when praised. He should dispel greed and miserliness, as well as anger and slanderous speech.	A bhikkhu would not be anxious when criticized, Nor puffed up when praised; But would get rid of greed together with Stinginess, anger, and slander	If words of challenge ye meet, let no hatred overpower you; If words of eulogy greet you, speak no words of exaltation ; Coveted objects ye give up, along with jealousy, And the double-tongue, too, with what is anger and grief		928		Muni 
14.15	Tuvaṭaka	Quick Way	kayavikkaye na tiṭṭheyya upavādaṃ bhikkhu na kareyya kuhiñci gāme ca nābhisajjeyya lābhakamyā janaṃ na lapayeyya	A monk should not stay with buying and selling, and not make criticism regarding anything. He should not get attached in the village and not speak boastfully out of a desire for gain.	They’d not stand for buying and selling; a mendicant would not speak ill at all. They wouldn’t linger in the village, nor cajole people from desire for profit.	shouldn’t buy or sell or revile anyone anywhere; shouldn’t linger in villages, or flatter people in hope of gains.	“A bhikkhu should not engage in buying and selling; he should not do anything that incurs criticism. He should not form intimacy in the village; he should not address people from a desire for gain.	They would not continue at a trade, A bhikkhu would not incur blame at all; They would not linger in a village, Nor cajole people hoping to get stuff.	In buying and selling, engage yourself never, Nor, in the same, practise any fraud for gain; For any dwelling-places in the country, have no greed, Nor from the same, ye seek or crave any gain.		929		Muni 
14.16	Tuvaṭaka	Quick Way	na ca katthitā siyā bhikkhu na ca vācaṃ payuttaṃ bhāseyya pāgabbhiyaṃ na sikkheyya kathaṃ viggāhikaṃ na kathayeyya	A monk should not be a boaster and not speak hintingly. He should not train in recklessness and not speak quarrelsome speech.	A mendicant would be no boaster, nor would they speak suggestively. They wouldn’t train in impudence, nor speak argumentatively.	A monk shouldn’t boast or speak with ulterior motive, shouldn’t train in insolence or speak quarrelsome words;	“A bhikkhu should not be boastful, and he should not utter insinuating speech. He should not train himself in impudence; he should not utter contentious talk.	A bhikkhu would not be boastful, Nor speak with an ulterior motive; He would not practice impudence, Nor say things that were argumentative.	Words that reveal one’s desire as well as greed or attachment Give no vent to them, as with the rough and wrong [only]do they go. Of words of impudence, ye never learn any, And in all your doings, hatred ye never arouse		930		Muni 
14.17	Tuvaṭaka	Quick Way	mosavajje na nīyetha sampajāno saṭhāni na kayirā atha jīvitena paññāya sīlabbatena nāññamatimaññe	He should not be led by falsehood and in awareness he should not act in a deceitful manner. Then on account of life and wisdom and virtue and practice he should not despise another.	They wouldn’t be led into lying, nor be deliberately devious. And they’d never look down on another because of livelihood, wisdom, or precepts and vows.	shouldn’t engage in lies or knowingly cheat; shouldn’t despise others for their life, discernment, habits, or practices.	“He should not be led into false speech, nor should he deliberately do anything deceptive.  Because of his way of life, his wisdom, or his good behavior and observances, he should not despise another.	He would not be carried away by lies, Nor deliberately betray anyone; Nor would he look down on anyone for their Way of life, intelligence, virtue, or vows.	In false speech, never find ye any delight, Nor do ye practise any duplicity of speech.  In life while it lasts, seek the practices of the wise And rules of conduct ye hold truly, without slighting them as leaky		931		Muni 
14.18	Tuvaṭaka	Quick Way	sutvā rusito bahuṃ vācaṃ samaṇānaṃ vā puthujanānaṃ pharusena ne na paṭivajjā na hi santo paṭisenikaronti	Provoked after hearing much talk, from recluses as well as from common people, he should not counter them with harsh speech, for the good do not retaliate.	Though provoked from hearing much talk from ascetics saying all different things,  they wouldn’t react harshly, for the virtuous do not retaliate	Annoyed on hearing many words from contemplatives or ordinary people, he shouldn’t respond harshly, for those who retaliate aren’t calm.	“When provoked, having heard many words from ascetics who speak profusely, he should not respond to them harshly, for the good do not retaliate.	Even if provoked by different sayings, Of ascetics or of ordinary people, He would not answer harshly, For good people make no enemies.	If words, coarse, evil, or not nice, Reach your ears, from companions or from the commoner, Well! have them closed; and never do retaliate ; For, the wise and worthy never make a personal assault		932		Muni 
14.19	Tuvaṭaka	Quick Way	etañca dhammamaññāya vicinaṃ bhikkhu sadā sato sikkhe santīti nibbutiṃ ñatvā sāsane gotamassa na pamajjeyya	Knowing that this is the Dhamma, reflecting on it a monk should always train mindfully. Knowing quenching to be “peace” he should not be negligent in Gotama’s teaching	Having understood this teaching, inquiring, a mendicant would always train mindfully. Knowing extinguishment as peace, they’d not be negligent in Gotama’s bidding.	monk inquiring should always train in it mindfully. Knowing unbinding as peace, he shouldn’t be heedless of Gotama’s message—	“Having understood this Dhamma, investigating, a bhikkhu should always train mindfully. Having known quenching as peace, he should not be heedless in Gotama’s teaching.	Fully understanding this principle, An inquiring bhikkhu would always train mindfully; Knowing quenching as peace, He would not be negligent in Gotama’s teaching.	Knowing the Truths of Tathagata as just and right, Never dally with them, but with close thought think over ; Consider that from the calm and quiet doth Quiescence result, And Gautama's teaching ye never treat as light or with doubt		933		Muni 
14.20.	Tuvaṭaka	Quick Way	abhibhū hi so anabhibhūto sakkhidhammamanītihamadassī tasmā hi tassa bhagavato sāsane appamatto sadā namassamanusikkheti	For he is the overcomer who is not overcome. With his own eyes he saw the Dhamma not based on hear-say. Therefore in the teaching of that Blessed one one should always train with diligence and devotion.	For he is the undefeated, the champion, seer of the truth as witness, not by hearsay— that’s why, being diligent, they would always respectfully train in the Buddha’s teaching.”	for he, the Conqueror unconquered, witnessed the Dhamma, not by hearsay, but directly, himself. So, heedful, you should always do homage &train in line with that Blessed One’s message,” the Blessed One said.	“For he is a conqueror who is himself unconquered; he saw the Dhamma as a witness, not by hearsay. Therefore, heedful in that Blessed One’s teaching, always honoring it, one should train in accordance with it.”	He overcomes, he is not overcome, Seeing the Dhamma with his own eyes, not by hearsay; Therefore he would always respectfully train in accord, Diligent in the teaching of the Buddha.	He has wisdom self-obtained and the Law that doth not die, He has seen the Law directly-experienced and to tradi-tion not submitting ; Always follow wisdom, Tathagata's teaching, And from this wisdom will follow good, with attachment none		934		Muni 
15.1	ATTADAṆḌA	Taking up Arms 	attadaṇḍā bhayaṃ jātaṃ janaṃ passatha medhagaṃ saṃvegaṃ kittayissāmi yathā saṃvijitaṃ mayā	From the taking up of sticks fear arises— look at people quarrelling. I shall describe the sense of urgency in the way it was experienced by me.	Peril stems from those who take up arms— just look at people in conflict! I shall extol how I came to be stirred with a sense of urgency.	“When embraced, the rod of violence1 breeds danger &fear: Look at people in strife. I will tell how I experienced terror:	“Fear has arisen from one who has taken up the rod: see the people engaged in strife. I will tell you of my sense of urgency, how I was stirred by a sense of urgency.	Fear’s born assuming forcefulness¹⁶— see how the people fight! I’ll tell you how I’m deeply moved, how I have felt so stirred.	Lack of compassion doth [surely] lead on to fear and terror; By listening to wise [words], from the world doth one escape. I'll tell you now how I felt distressed, How I became free from [distress] and how all fear and terror I banished		935		Muni 
15.2	ATTADAṆḌA	Taking up Arms 	phandamānaṃ pajaṃ disvā macche appodake yathā aññamaññehi byāruddhe disvā maṃ bhayamāvisi	Seeing the trembling humankind  like fish in little water mutually opposed to each other fear entered my heart.	I saw this population flounder, like a fish in a little puddle. Seeing them fight each other, fear came upon me.	Seeing people floundering like fish in small puddles, competing with one another— as I saw this, fear came into me. The world was entirely without substance.	“Having seen the population trembling like fish in a pool with little water, having seen them hostile to one another, fear came upon me.	Seeing how people flounder as fish in little water attacking one the other its fearfulness appeared.	Throbbing with distress were all the people in the world, Like the fish in water that is dried up, when the flow is cut off. With the sufiering produced, they had thoughts of hurting [others], Replacing that fear,_with pleasure that was real but depraved		936	15 pali = 16 Chinese  The stories are quite different	Muni 
15.3	ATTADAṆḌA	Taking up Arms 	samantamasāro loko disā sabbā sameritā icchaṃ bhavanamattano nāddasāsiṃ anositaṃ	All around the world was void of sense. All directions were adrift. Wanting an abode for myself I did not see any unobstructed	The world around was hollow, all directions were in turmoil. Wanting a home for myself, I saw nowhere unsettled	All the directions were knocked out of line. Wanting a haven for myself, I saw nothing that wasn’t laid claim to. 	“The world was insubstantial all around; all the directions were in turmoil. Desiring an abode for myself, I did not see [any place] unoccupied.	Once I wished a place to stay, but all the world is essenceless, turmoil in every quarter, I saw no place secure.	Everything, all around, was burning; All the ten directions were rutfled, knowing no peace. Wishing self-advancement, the craving they abandoned not; For lack of insight, the foolish thoughts they stuck to.		937		Muni 
15.4	ATTADAṆḌA	Taking up Arms 	osānetveva byāruddhe disvā me aratī ahu athettha sallamaddakkhiṃ duddasaṃ hadayanissitaṃ	In that very obstruction they were opposed— seeing that, aversion arose in me. Then I saw the barb there, hard to see, stuck in the heart.	But even in their settlement they fight  seeing that, I grew uneasy. Then I saw a dart there, so hard to see, stuck in the heart.	Seeing nothing in the end but competition, I felt discontent. And then I saw an arrow here, so very hard to see, embedded in the heart.	“Having seen those hostile at the end, discontent came upon me. Then I saw the dart here, hard to see, nestled in the heart.	Folks’ never-ending enmity I saw, took no delight, but then I saw the hard-to-see, the dart within the heart.	With extinction entangled the darkness of suffering did they seek. When I saw all this, discontent my mind did assail, Which led on to suffering. A dart of grief I noticed— A dart, diificult to be seen, and hard to endure		938		Muni 
15.5	ATTADAṆḌA	Taking up Arms 	yena sallena otiṇṇo disā sabbā vidhāvati tameva sallamabbuyha na dhāvati na sīdati	The barb pierced by which one runs in all directions, having pulled that barb out one does not run, one does not sink.	When struck by that dart, you run about in all directions. But when that same dart has been plucked out, you neither run about nor sink down.	Overcome by this arrow you run in all directions. But simply on pulling it out you don’t run, you don’t sink.	“When one is struck by that dart one runs astray in all directions. But having drawn out that dart, one does not run, does not sink.”	Affected by this dart one runs in all directions but with the dart pulled out one neither runs nor sinks.	With this dart of grief, planted firm and hence not negligible, With this dart, pierced, one rushes along all the world over. This dart of grief has been, by the Blessed One, seen and uprooted. The suffering has become negligible and no one rushes along any longer		939	Nd I: “One doesn’t run” to any of the destinations of rebirth; “one doesn’t sink” into any of the four floods of sensuality, views, becoming, and ignorance. See SN 1:1, SN 45:171, and AN 4:10.	Muni 
15.6	ATTADAṆḌA	Taking up Arms 	tattha sikkhānugīyanti yāni loke gadhitāni na tesu pasuto siyā nibbijjha sabbaso kāme sikkhe nibbānamattano	Whatever ties there are in the world one should not be intent on them. Having broken through sensuality completely one should train in self-quenching.	Whatever attachments there are in the world, don’t pursue them. Having pierced through sensual pleasures in every way, train yourself for quenching.	you shouldn’t be set on them. Having totally penetrated sensual pleasures, sensual passions,4 you should train for your own unbinding.	There the trainings are recited: “Whatever bonds there are in the world, one should not be intent on them. Having entirely pierced through sensual pleasures, one should train for one’s own nibbāna.	On this, the training’s chanted thus: Whatever bonds within the world¹⁷ they should not be pursued knowing in depth all sense-desires for Nirvāṇa train.	Whatsoever the world possesses, all that ye may not take. It is the root of misbehaviour and distraction. Give it up and take not to it. Passions, objects of disgust—all of them ye pass over. Suffering ye learn to avoid, being away from the flourish of the self		940	At this point the training rules are recited:	Muni 
15.7	ATTADAṆḌA	Taking up Arms 	sacco siyā appagabbho amāyo rittapesuṇo akkodhano lobhapāpaṃ vevicchaṃ vitare muni	One should be truthful and not reckless, without deceit, rid of slander, and without anger. The evil of greed and the wish for variety a Muni should cross over.	Be truthful, not rude, free of deceit, and rid of slander; without anger, a sage would cross over the evils of greed and avarice.	Be truthful, not insolent, not deceptive, remote from divisiveness. Without anger, the sage should cross over the evil of greed &avarice.	“One should be truthful, not impudent, without hypocrisy, devoid of divisive speech. Without anger, a muni should cross over the evil of greed and miserliness.	Truthful and not arrogant, deceit none, slander, hate, rid of greed’s evil, avarice beyond them all’s the sage.	In veritable was ye stay, and deceit (re) ye practise not; To right conduct ye hold on, and double-tongued ye never be. The fire of anger ye allay, and greed ye break and scatter. All evil ye abandon and [worldly] cunning ye get rid of		941		Muni 
15.8	ATTADAṆḌA	Taking up Arms 	niddaṃ tandiṃ sahe thīnaṃ pamādena na saṃvase atimāne na tiṭṭheyya nibbānamanaso naro	Sleep, lassitude and sluggishness he should overcome. He should live without negligence. A man should not stay with arrogance if his mind is set upon quenching.	Prevail over sleepiness, sloth, and drowsiness, don’t abide in negligence, A person intent on quenching would not stand for arrogance.	He should conquer drowsiness, weariness, sloth; shouldn’t consort with heedlessness, shouldn’t stand firm in his pride— the man with his heart set on unbinding.	“One should vanquish sleepiness, torpor, and dullness; one should not keep company with heedlessness. A person whose mind is set on nibbāna should not persist in arrogance.	Not sleepy, drowsy, slothful not, living not with negligence, taking no stand on arrogance: that mind inclines to Nibbana.	Drowsiness ye give up and sleepiness ye abandon; With carelessness never ye do yourself conduct. Egotism to be detested, never do ye cherish, And ever think of the Void, where everything must cease		942		Muni 
15.9	ATTADAṆḌA	Taking up Arms 	mosavajje na nīyetha rūpe snehaṃ na kubbaye mānañca parijāneyya sāhasā virato care	He should not be led into falsehood. He should not have affection for form. Conceit he should completely know and fare restrained from violence.	Don’t be led into lying, or get caught up in fondness for form. Completely understand conceit, and desist from hasty conduct.	He shouldn’t engage in lying, shouldn’t create affection for form, should fully fathom conceit, and live refraining from impulsiveness;	“One should not be led into false speech; one should not engender affection for form. One should fully understand conceit, and one should refrain from rashness.	Be not into lying led, for forms have no affection, know thoroughly conceit, violence avoid fare thus.	Into words of falsehood, never let yourself be dragged; To comely forms that ye meet with, never do ye submit; That egotism ye [yourself] know, without being attached; For, when you are overcome  by playful attachment. Search for Knowledge will be difficult [for you		943		Muni 
